id,aspect_ratio,diameter,height_ratio,sphericity,symmetry_concave,symmetry_hull,symmetry_total,thickness,unmachinable,volume_ratio,is_lathe
0010E0C,0.91515864,0.05463534,0.86818376,0.51688567,0.13252163,0.15560095,0.13871448,0.04377782,0.00000000,0.67354958,1
000F6AF,0.99999478,0.09354896,0.66810280,0.49472869,0.53751180,0.00435115,0.23858358,0.04347826,0.00000000,0.80120281,0
000F5FA,0.99999429,0.08544144,0.60353306,0.26381025,0.06800954,0.03829076,0.05324792,0.03587230,0.00000000,0.25474786,0
000F5F4,1.00000000,0.08544144,0.58519614,0.23640970,0.07250053,0.03156328,0.04750163,0.03478261,0.00000000,0.20961212,0
0010336,0.99999682,0.07671777,0.08506456,0.13885485,0.74165469,0.03801871,0.61800888,0.62739267,1.00000000,0.20828451,1
000EEAB,0.99939003,0.04921260,0.99600758,0.61687357,0.49689822,0.00727583,0.21749141,0.03407737,0.00000000,0.88827689,1
000F086,0.99999801,0.12276772,0.00408076,0.06872118,0.00884465,0.00218151,0.00884465,0.00034851,1.00000000,0.79913771,0
000EEEA,1.00000000,0.07671826,0.13604825,0.22697517,0.73766240,0.00810359,0.63641568,0.39228158,1.00000000,0.27734008,1
001152F,0.99416164,0.01222244,0.41372996,0.49634306,0.42089762,0.01997320,0.33255871,0.02055101,0.00000000,0.49644959,0
000E269,1.00000000,0.42661663,0.15573000,0.28168006,0.06911034,0.00500734,0.03726109,0.04621705,0.00000000,0.35502980,0
00104F8,1.00000000,0.10393701,0.06028409,0.32990638,0.11455353,0.00379046,0.00673359,0.00435878,0.00000000,0.93077142,0
000EA2C,1.00000000,0.02640256,0.35203411,0.33148077,0.22212062,0.01260819,0.18375881,0.05217391,0.00000000,0.40776751,1
001045C,1.00000000,0.02293676,0.17587736,0.62429557,0.23859254,0.01277277,0.09577325,0.09072236,0.00000000,0.91042319,1
00104F7,0.99999712,0.08479503,0.27134431,0.75394332,0.69600478,0.00551642,0.00385779,0.21739113,0.00000000,0.99998569,1
001009C,1.00000000,0.18727363,0.12515109,0.39713560,0.48431504,0.00623189,0.09760543,0.01630435,0.00000000,0.78146279,0
00100AA,0.98267873,0.00919119,0.16240435,0.39511545,0.08041504,0.05758761,0.07000027,0.03937008,0.00000000,0.66370765,1
000EBDC,0.93268470,0.00371752,0.07878270,0.52507718,0.30438018,0.10878391,0.11071957,0.03282574,0.00000000,0.97202654,1
000FEB5,0.99998570,0.01797368,0.01198246,0.29689424,0.03000018,0.01976865,0.03000018,1.04347791,0.00000000,0.98926082,1
000FB38,0.99893506,0.25622760,0.07569698,0.29584994,0.20879785,0.00460536,0.00692766,0.01347826,0.00000000,0.37876689,0
000EBDD,0.93255246,0.00371752,0.04564902,0.44510154,0.26357956,0.10843151,0.11053759,0.05665183,0.00000000,0.98401040,1
0010209,0.99893368,0.20906644,0.33019534,0.21199521,0.01948989,0.00158005,0.00481115,0.04797158,0.00000000,0.34139728,1
000F63E,0.99985236,0.04666585,0.28988723,0.27174189,0.22419953,0.24784062,0.21987882,0.00940928,1.00000000,0.33470685,0
001123B,0.92741567,0.12491240,0.26166053,0.57211788,0.39380660,0.11264409,0.25395106,0.02108678,0.00000000,0.77946534,0
0010E78,0.97048888,0.19535453,0.92115444,0.13357819,0.29450350,0.20886802,0.34901873,0.14753097,0.00000000,0.11318196,0
000F663,0.99723695,0.03927387,0.18817860,0.42723656,0.00985973,0.00508525,0.00608666,0.00512701,0.00000000,0.56354284,1
000CAEF,0.99865951,0.34160137,0.06412259,0.26693865,0.20420333,0.01520656,0.06435738,0.01521739,0.00000000,0.70668552,0
000F988,1.00000000,0.04026157,0.12259123,0.09570258,0.01407569,0.01395338,0.01358427,0.22846696,0.00000000,0.15121354,1
000F88C,0.96988268,0.00731201,0.33043838,0.46508838,0.20589775,0.06046383,0.08852651,0.01539353,1.00000000,0.76200109,1
0011482,0.99695412,0.04491609,0.79075639,0.33140073,0.18685019,0.04245019,0.16828977,0.03951403,1.00000000,0.37282563,1
00103BC,0.90043619,0.14678691,0.07825031,0.24984596,0.19502309,0.17411465,0.17163433,0.00719480,0.00000000,0.60067658,0
000FA5D,1.00000000,0.03109818,0.55387196,0.49498490,0.06408013,0.01060759,0.01284536,0.01198220,0.00000000,0.58156745,1
000F6C4,1.00000000,0.04647293,0.50432578,0.62142121,0.15388349,0.01209686,0.01214820,0.01630435,0.00000000,0.72791169,1
001044F,0.42857143,0.03444882,0.23333333,0.40865444,0.80787870,0.65450880,0.69998427,0.10270455,0.00000000,0.36285331,0
00103B6,0.71653546,0.15875000,0.58241757,0.19787724,0.50577435,0.52788064,0.46014939,0.04608696,1.00000000,0.16066549,0
00104F9,0.99999989,0.08856817,0.72671463,0.11236532,0.00409115,0.00358779,0.00368845,0.08478244,0.00000000,0.08272437,1
